30076|GEO 109E||Ramazan Alper Kuçak|INB INB|Salı  Perşembe  |0830/1259  0830/1059  |---  ---  |30|19|GEO, GEOE
30118|MAT 103E||Mehmet Ali Karaca|FEB FEB FEB|Pazartesi  Salı  Çarşamba  |1330/1729  1330/1729  1330/1729  |D104  D104  D104  |160|160|ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IAD, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MEN, MET, METE, MIM, MIME, MMD, MTM, MTO, MTOE, NAE, PEM, PEME, PET, PETE, SBP, SBPE, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE, YZVE
30119|MAT 104E||Füsun  Zengin|FEB FEB FEB|Pazartesi  Salı  Çarşamba  |0830/1229  0830/1229  0830/1229  |D202  D202  D202  |160|160|BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, FIZ, FIZE, GEM, GEME, GEMK, GEMM, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEFM, JEO, JEOE, KIM, KIME, KMM, KMME, KMMM, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MATM, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, PETM, TEK, TEKE, TEL, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE
30120|MAT 104E||Füsun  Zengin|FEB FEB FEB|Pazartesi  Salı  Çarşamba  |1330/1729  1330/1729  1330/1729  |D202  D202  D202  |160|161|BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, FIZ, FIZE, GEM, GEME, GEMK, GEMM, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEFM, JEO, JEOE, KIM, KIME, KMM, KMME, KMMM, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MATM, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, PETM, TEK, TEKE, TEL, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE
30121|MAT 104E||Sezgin  Altay Demirbağ|FEB FEB FEB|Pazartesi  Salı  Çarşamba  |0830/1229  0830/1229  0830/1229  |D204  D204  D204  |160|160|BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, FIZ, FIZE, GEM, GEME, GEMK, GEMM, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEFM, JEO, JEOE, KIM, KIME, KMM, KMME, KMMM, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MATM, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, PETM, TEK, TEKE, TEL, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE
30122|MAT 104E||Sezgin  Altay Demirbağ|FEB FEB FEB|Pazartesi  Salı  Çarşamba  |1330/1729  1330/1729  1330/1729  |D204  D204  D204  |160|160|BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, FIZ, FIZE, GEM, GEME, GEMK, GEMM, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEFM, JEO, JEOE, KIM, KIME, KMM, KMME, KMMM, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MATM, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, PETM, TEK, TEKE, TEL, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE
30123|MAT 287||Kamil  Oruçoğlu|FEB FEB FEB|Pazartesi  Salı  Çarşamba  |0830/1229  0830/1229  0830/1229  |D206  D206  D206  |80|68|MAT, MATM
30124|THO 311||Eyüp  Uzunkaya|TMB TMB TMB|Pazartesi  Salı  Çarşamba  |0930/1229  1330/1529  1030/1229  |---  ---  ---  |10|6|THO
30125|THO 418||Eyüp  Uzunkaya|TMB TMB TMB TMB|Pazartesi  Salı  Çarşamba  Perşembe  |1330/1629  1030/1229  1330/1529  1000/1229  |---  ---  ---  ---  |10|4|THO
30126|THO 445||Eyüp  Uzunkaya|TMB TMB TMB TMB|Salı  Çarşamba  Perşembe  Cuma  |1530/1729  1530/1729  1330/1559  0930/1229  |---  ---  ---  ---  |15|10|THO
30127|THO 317||İlknur  Demirbağ|TMB TMB TMB TMB|Pazartesi  Salı  Çarşamba  Perşembe  |0930/1229  1330/1529  1030/1229  1330/1559  |---  ---  ---  ---  |10|5|THO
30128|THO 409||İlknur  Demirbağ|TMB TMB TMB|Pazartesi  Salı  Çarşamba  |1330/1629  1030/1229  1330/1529  |---  ---  ---  |15|11|THO
30129|CAB 144||Alper  Rumelioğlu|TMB TMB|Perşembe  Cuma  |1530/1729  0930/1229  |---  ---  |10|4|BST, CAB, CEB, KMP
30130|CAB 243||Alper  Rumelioğlu|TMB TMB|Pazartesi  Salı  |1330/1529  1330/1629  |---  ---  |15|9|BST, CAB, CEB, KMP
30131|CAB 343||Alper  Rumelioğlu|TMB TMB|Çarşamba  Perşembe  |0930/1229  1330/1529  |---  ---  |15|9|BST, CAB, CEB, KMP, SES
30132|CAB 444||Alper  Rumelioğlu|TMB TMB|Perşembe  Cuma  |0930/1229  1330/1529  |---  ---  |10|4|BST, CAB, CEB, KMP
30133|CAB 763||Cihangir  Terzi|TMB TMB TMB|Pazartesi  Salı  Çarşamba  |0930/1229  0930/1229  1330/1659  |---  ---  ---  |10|7|CAB, CEB, CGM1, CGM2, CGM3, CGM4, CGM5, CGM8
30134|MAT 345E||Kamil  Oruçoğlu|FEB FEB|Pazartesi  Salı  |1330/1659  1330/1659  |D206  D206  |90|81|MAT, MATM
30135|FIZ 101E||Nurcan  Doğan Bingölbali|MED MED|Perşembe  Cuma  |1330/1659  0830/1159  |A12  A12  |140|141|BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMMM, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, SEH, TEK, TEKE, TEL, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE
30136|FIZ 101E||Nurcan  Doğan Bingölbali|MED MED|Perşembe  Cuma  |0830/1159  1400/1729  |A12  A12  |140|142|BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMMM, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, SEH, TEK, TEKE, TEL, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE
30137|FIZ 102E||Oğuzhan  Gürlü|MED MED|Pazartesi  Çarşamba  |0830/1159  0830/1159  |A11  A11  |140|140|BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, EEE, EFN, EHB, EHBE, ELK, ELKE, END, ENDE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, TEK, TEKE, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE
30138|FIZ 102E||Oğuzhan  Gürlü|MED MED|Pazartesi  Çarşamba  |1330/1659  1330/1659  |A11  A11  |140|142|BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, EEE, EFN, EHB, EHBE, ELK, ELKE, END, ENDE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, TEK, TEKE, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE
30139|FIZ 102E||Ali  Gelir|MED MED|Salı  Çarşamba  |0830/1159  1330/1659  |A13  A13  |140|140|BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, EEE, EFN, EHB, EHBE, ELK, ELKE, END, ENDE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, TEK, TEKE, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE
30140|FIZ 102E||Ali  Gelir|MED MED|Salı  Çarşamba  |1330/1659  0830/1159  |A13  A13  |140|140|BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, EEE, EFN, EHB, EHBE, ELK, ELKE, END, ENDE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, TEK, TEKE, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE
30141|FIZ 102E||Mehmet Cem Güçlü|MED MED|Perşembe  Cuma  |0830/1159  1400/1729  |A11  A11  |140|140|BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, EEE, EFN, EHB, EHBE, ELK, ELKE, END, ENDE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, TEK, TEKE, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE
30142|FIZ 102E||Mehmet Cem Güçlü|MED MED|Perşembe  Cuma  |1330/1659  0830/1159  |A11  A11  |140|142|BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, EEE, EFN, EHB, EHBE, ELK, ELKE, END, ENDE, FIZM, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAKM, MAT, MATE, MEN, MET, METE, MMD, MTM, MTO, MTOE, NAE, PET, PETE, TEK, TEKE, UCK, UCKE, UCKM, UZB, UZBE, UZBM, YZVE
30143|SNT 103||Mehmet  Güler|MMB MMB|Perşembe  Perşembe  |0900/1259  1400/1659  |102A  102A  |23|23|ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB
30144|SNT 103||Mehmet  Güler|MMB MMB|Cuma  Cuma  |0900/1259  1400/1659  |102A  102A  |23|23|ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB
30145|SNT 103||Pınar  Genç|MMB MMB|Salı  Salı  |0900/1229  1330/1659  |102A  102A  |22|22|ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB
30146|SNT 103||Pınar  Genç|MMB MMB|Çarşamba  Çarşamba  |0900/1229  1330/1659  |102A  102A  |22|22|ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB
30147|SNT 103E||Meliha  Sözeri|MMB MMB|Pazartesi  Pazartesi  |0900/1229  1330/1659  |102A  102A  |22|25|ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EEE, EFN, EHB, EHBE, EHS, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IAD, ICM, ICME, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MSS, MTO, MTOE, NAE, PEM, PEME, PET, PETE, SBP, SBPE, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE, YZVE
30148|SNT 104||Yasemin  Dora|MKB MKB|Salı  Çarşamba  |0930/1259  0930/1259  |D378  D378  |22|22|ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB
30149|SNT 105E||Kağan  Demirdöven|MED MED|Perşembe  Perşembe  |0900/1259  1400/1659  |B37  B37  |60|63|ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EEE, EFN, EHB, EHBE, EHS, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IAD, ICM, ICME, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MSS, MTO, MTOE, PEM, PEME, PET, PETE, SBPE, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE, YZVE
30150|SNT 106||Ayşe  Yivlik Neftçi|MMB MMB|Salı  Salı  |0900/1229  1330/1659  |227  227  |35|33|ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB
30151|SNT 107||Ayşe  Yivlik Neftçi|MMB MMB|Pazartesi  Pazartesi  |0900/1229  1330/1659  |215  215  |35|35|ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB
30152|SNT 112||Yeliz  Şatıroğlu|MED MED|Perşembe  Perşembe  |0900/1229  1330/1659  |B33  B33  |30|30|ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB
30153|SNT 112||Yeliz  Şatıroğlu|MED MED|Çarşamba  Çarşamba  |0900/1229  1330/1659  |B33  B33  |30|30|ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB
30154|SNT 113||Ferhan  Gözgü Çelik|MMB MMB|Pazartesi  Pazartesi  |0900/1229  1330/1659  |230  230  |28|28|ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB
30155|SNT 113||Ferhan  Gözgü Çelik|MMB MMB|Salı  Salı  |0900/1229  1330/1659  |230  230  |28|27|ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB
30156|SNT 113||--|MMB MMB|Çarşamba  Çarşamba  |0830/1229  1330/1629  |230  230  |0|0|ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB
30157|SNT 211E||Pınar  Erkan Bursa|MKB MKB|Cuma  Cuma  |0900/1259  1400/1659  |D452  D452  |30|30|ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EEE, EFN, EHB, EHBE, EHS, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IAD, ICM, ICME, IML, IMLE, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MSS, MTO, MTOE, PEM, PEME, PET, PETE, SBPE, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE, YZVE
30158|SNT 214||Meliha  Sözeri, Tan  Temel|MMB MMB|Salı  Salı  |0900/1229  1330/1659  |231  231  |22|21|ARC, BIO, BLG, CEN, CEV, CHZ, DEN, DUI, EEE, EFN, EHB, ELE, ELH, ELK, END, EUT, FIZ, GEM, GEO, GID, GMI, ICM, IML, INS, ISL, JDF, JEF, JEO, KIM, KMM, KOM, MAD, MAK, MAT, MET, MIM, MMD, MTO, PEM, PET, SBP, TEK, TEL, UCK, UZB
30159|TUR 121|Çevrimiçi/Online|Özlem  Kara|----|Pazartesi  Salı  |1000/1229  1000/1229  |---- |65|65|ARC, BIO, BIOE, BLG, BLGE, BST, CAB, CEB, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, ESS, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IAD, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMP, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MTM, MTO, MTOE, MTR, MUT, MUZ, MUZE, MZT, NAE, PEM, PEME, PET, PETE, SAO, SBP, SBPE, SES, STP, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE
30160|TUR 121|Çevrimiçi/Online|Özlem  Kara|----|Pazartesi  Salı  |1230/1459  1230/1459  |---- |65|65|ARC, BIO, BIOE, BLG, BLGE, BST, CAB, CEB, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, ESS, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IAD, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMP, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MTM, MTO, MTOE, MTR, MUT, MUZ, MUZE, MZT, NAE, PEM, PEME, PET, PETE, SAO, SBP, SBPE, SES, STP, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE
30161|TUR 121|Çevrimiçi/Online|Özlem  Kara|----|Pazartesi  Salı  |1500/1729  1500/1729  |---- |65|65|ARC, BIO, BIOE, BLG, BLGE, BST, CAB, CEB, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, ESS, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IAD, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMP, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MTM, MTO, MTOE, MTR, MUT, MUZ, MUZE, MZT, NAE, PEM, PEME, PET, PETE, SAO, SBP, SBPE, SES, STP, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE
30162|TUR 122|Çevrimiçi/Online|Özlem  Kara|----|Çarşamba  Perşembe  |1000/1229  1000/1229  |---- |65|65|ARC, BIO, BIOE, BLG, BLGE, BST, CAB, CEB, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, ESS, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IAD, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMP, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MTM, MTO, MTOE, MTR, MUT, MUZ, MUZE, MZT, NAE, PEM, PEME, PET, PETE, SAO, SBP, SBPE, SES, STP, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE
30163|TUR 122|Çevrimiçi/Online|Özlem  Kara|----|Çarşamba  Perşembe  |1230/1459  1230/1459  |---- |65|64|ARC, BIO, BIOE, BLG, BLGE, BST, CAB, CEB, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, ESS, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IAD, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMP, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MTM, MTO, MTOE, MTR, MUT, MUZ, MUZE, MZT, NAE, PEM, PEME, PET, PETE, SAO, SBP, SBPE, SES, STP, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE
30164|TUR 122|Çevrimiçi/Online|Özlem  Kara|----|Çarşamba  Perşembe  |1500/1729  1500/1729  |---- |65|65|ARC, BIO, BIOE, BLG, BLGE, BST, CAB, CEB, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, DUI, DUIE, ECNE, EEE, EFN, EHB, EHBE, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, ESS, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, GMI, GMIE, IAD, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KMP, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MEN, MET, METE, MIM, MIME, MMD, MTM, MTO, MTOE, MTR, MUT, MUZ, MUZE, MZT, NAE, PEM, PEME, PET, PETE, SAO, SBP, SBPE, SES, STP, TEK, TEKE, TEL, THO, UCK, UCKE, UZB, UZBE, YZVE
