30076|GEO 109E||Ramazan Alper Kuçak|INB INB|Salı  Perşembe  |0830/1259  0830/1059  |---  ---  |30|19|GEO, GEOE
30088|ING 112A|Çevrimiçi/Online|Hacer  Şivil|----|Salı  Perşembe  |1130/1359  1130/1359  |---- |28|28|ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, DEN, ECNE, EEE, EFN, EHB, EHBE, ELK, ELKE, END, ENDE, ENTE, EUTE, FIZ, GEM, GEO, GEOE, GID, IAD, ICM, IML, IND, INS, INSE, ISL, ISLE, JEF, JEO, KIM, KMM, KOM, KOME, MAD, MAK, MAT, MET, METE, MIM, MIME, MMD, MTO, NAE, PEME, PETE, SAO, SBP, SBPE, TEKE, UCK, UZBE, YZVE
30089|ING 112A|Çevrimiçi/Online|Halime Ceren Göktaş|----|Pazartesi  Çarşamba  |0900/1129  0900/1129  |---- |28|29|ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, DEN, ECNE, EEE, EFN, EHB, EHBE, ELK, ELKE, END, ENDE, ENTE, EUTE, FIZ, GEM, GEO, GEOE, GID, IAD, ICM, IML, IND, INS, INSE, ISL, ISLE, JEF, JEO, KIM, KMM, KOM, KOME, MAD, MAK, MAT, MET, METE, MIM, MIME, MMD, MTO, NAE, PEME, PETE, SAO, SBP, SBPE, TEKE, UCK, UZBE, YZVE
30090|ING 112A|Çevrimiçi/Online|Halime Ceren Göktaş|----|Pazartesi  Çarşamba  |1130/1359  1130/1359  |---- |28|28|ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, DEN, ECNE, EEE, EFN, EHB, EHBE, ELK, ELKE, END, ENDE, ENTE, EUTE, FIZ, GEM, GEO, GEOE, GID, IAD, ICM, IML, IND, INS, INSE, ISL, ISLE, JEF, JEO, KIM, KMM, KOM, KOME, MAD, MAK, MAT, MET, METE, MIM, MIME, MMD, MTO, NAE, PEME, PETE, SAO, SBP, SBPE, TEKE, UCK, UZBE, YZVE
30091|ING 112A|Çevrimiçi/Online|Halime Ceren Göktaş|----|Pazartesi  Çarşamba  |1400/1629  1400/1629  |---- |28|28|ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, DEN, ECNE, EEE, EFN, EHB, EHBE, ELK, ELKE, END, ENDE, ENTE, EUTE, FIZ, GEM, GEO, GEOE, GID, IAD, ICM, IML, IND, INS, INSE, ISL, ISLE, JEF, JEO, KIM, KMM, KOM, KOME, MAD, MAK, MAT, MET, METE, MIM, MIME, MMD, MTO, NAE, PEME, PETE, SAO, SBP, SBPE, TEKE, UCK, UZBE, YZVE
30092|ING 112A|Çevrimiçi/Online|Halime Ceren Göktaş|----|Salı  Perşembe  |0900/1129  0900/1129  |---- |28|28|ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, DEN, ECNE, EEE, EFN, EHB, EHBE, ELK, ELKE, END, ENDE, ENTE, EUTE, FIZ, GEM, GEO, GEOE, GID, IAD, ICM, IML, IND, INS, INSE, ISL, ISLE, JEF, JEO, KIM, KMM, KOM, KOME, MAD, MAK, MAT, MET, METE, MIM, MIME, MMD, MTO, NAE, PEME, PETE, SAO, SBP, SBPE, TEKE, UCK, UZBE, YZVE
30093|ING 112A|Çevrimiçi/Online|Halime Ceren Göktaş|----|Salı  Perşembe  |1130/1359  1130/1359  |---- |28|28|ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, DEN, ECNE, EEE, EFN, EHB, EHBE, ELK, ELKE, END, ENDE, ENTE, EUTE, FIZ, GEM, GEO, GEOE, GID, IAD, ICM, IML, IND, INS, INSE, ISL, ISLE, JEF, JEO, KIM, KMM, KOM, KOME, MAD, MAK, MAT, MET, METE, MIM, MIME, MMD, MTO, NAE, PEME, PETE, SAO, SBP, SBPE, TEKE, UCK, UZBE, YZVE
30094|ING 112A|Çevrimiçi/Online|Halime Ceren Göktaş|----|Salı  Perşembe  |1400/1629  1400/1629  |---- |28|28|ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, DEN, ECNE, EEE, EFN, EHB, EHBE, ELK, ELKE, END, ENDE, ENTE, EUTE, FIZ, GEM, GEO, GEOE, GID, IAD, ICM, IML, IND, INS, INSE, ISL, ISLE, JEF, JEO, KIM, KMM, KOM, KOME, MAD, MAK, MAT, MET, METE, MIM, MIME, MMD, MTO, NAE, PEME, PETE, SAO, SBP, SBPE, TEKE, UCK, UZBE, YZVE
30095|ING 201A|Çevrimiçi/Online|Meryem Simge Çengel Avcu|----|Pazartesi  Çarşamba  |0900/1129  0900/1129  |---- |28|28|ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EEE, EFN, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IAD, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MMD, MTO, MTOE, MUZE, NAE, PEM, PEME, PET, PETE, SBP, SBPE, SED, SEH, SGI, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE, YZVE
30096|ING 201A|Çevrimiçi/Online|Meryem Simge Çengel Avcu|----|Salı  Perşembe  |0900/1129  0900/1129  |---- |28|28|ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EEE, EFN, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IAD, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MMD, MTO, MTOE, MUZE, NAE, PEM, PEME, PET, PETE, SBP, SBPE, SED, SEH, SGI, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE, YZVE
30097|ING 201A|Çevrimiçi/Online|Meryem Simge Çengel Avcu|----|Pazartesi  Çarşamba  |1130/1359  1130/1359  |---- |28|28|ARC, BIO, BIOE, BLG, BLGE, CEN, CEV, CEVE, CHZ, CHZE, DEN, DENE, ECNE, EEE, EFN, EHB, EHBE, EHN, ELE, ELH, ELK, ELKE, END, ENDE, ENTE, EUT, EUTE, FIZ, FIZE, GEM, GEME, GEMK, GEO, GEOE, GID, GIDE, IAD, ICM, IML, IMLE, IND, INS, INSE, ISL, ISLE, JDF, JEF, JEFE, JEO, JEOE, KIM, KIME, KMM, KMME, KOM, KOME, MAD, MADE, MAK, MAKE, MAT, MATE, MET, METE, MIM, MIME, MMD, MTO, MTOE, MUZE, NAE, PEM, PEME, PET, PETE, SBP, SBPE, SED, SEH, SGI, TEK, TEKE, TEL, UCK, UCKE, UZB, UZBE, YZVE
